"Date","Price","Open","High","Low","Vol.","Change %"
"03/16/2022","95.00","95.70","95.80","94.15","3.89M","-1.04%"
"03/15/2022","96.00","92.00","96.00","91.05","1.82M","4.35%"
"03/14/2022","92.00","96.90","96.90","92.00","2.41M","-5.15%"
"03/11/2022","97.00","95.00","97.00","93.60","2.68M","2.11%"
"03/10/2022","95.00","94.10","95.95","93.45","2.08M","1.88%"
"03/09/2022","93.25","91.55","94.50","91.55","3.58M","2.47%"
"03/08/2022","91.00","98.00","98.00","90.50","4.01M","-7.61%"
"03/07/2022","98.50","98.45","98.50","96.90","1.18M","0.05%"
"03/04/2022","98.45","98.40","98.90","98.00","1.62M","-0.05%"
"03/03/2022","98.50","98.60","99.00","98.20","2.95M","0.36%"
"03/02/2022","98.15","98.55","98.60","97.90","2.47M","-0.36%"
"03/01/2022","98.50","99.00","99.90","98.25","2.33M","-1.50%"
"02/28/2022","100.00","98.00","100.00","97.60","4.68M","2.04%"
"02/24/2022","98.00","98.05","98.35","97.45","1.46M","-0.36%"
"02/23/2022","98.35","98.90","98.90","98.15","1.14M","-0.66%"
"02/22/2022","99.00","99.55","100.00","98.40","2.80M","-0.70%"
"02/21/2022","99.70","99.50","100.00","98.80","1.77M","0.30%"
"02/18/2022","99.40","100.00","100.00","99.30","1.78M","-0.60%"
"02/17/2022","100.00","100.00","100.00","99.00","2.12M","0.00%"
"02/16/2022","100.00","100.00","100.00","98.80","3.88M","1.01%"
"02/15/2022","99.00","100.00","101.20","98.75","3.03M","-1.00%"
"02/14/2022","100.00","98.30","100.40","98.30","1.32M","1.73%"
"02/11/2022","98.30","100.00","100.10","98.30","6.89M","-2.67%"
"02/10/2022","101.00","101.00","102.00","100.00","5.90M","-0.10%"
"02/09/2022","101.10","101.80","101.80","100.20","5.55M","-0.79%"
"02/08/2022","101.90","102.00","103.70","101.60","4.48M","-0.10%"
"02/07/2022","102.00","100.00","102.80","99.75","6.53M","2.00%"
"02/04/2022","100.00","99.80","100.50","99.60","4.98M","0.25%"
"02/03/2022","99.75","100.10","100.50","98.60","2.62M","-0.84%"
"02/02/2022","100.60","98.70","102.50","98.70","3.49M","2.55%"
"01/31/2022","98.10","98.95","98.95","98.00","1.71M","-1.21%"
"01/28/2022","99.30","95.00","99.30","94.50","5.70M","4.53%"
"01/27/2022","95.00","94.95","95.10","94.05","1.25M","0.00%"
"01/26/2022","95.00","94.75","95.40","93.40","1.81M","0.11%"
"01/25/2022","94.90","93.60","94.95","93.30","1.26M","1.39%"
"01/24/2022","93.60","94.30","94.60","93.50","788.30K","-1.16%"
"01/21/2022","94.70","94.20","94.90","94.20","1.23M","-0.32%"
"01/20/2022","95.00","93.60","95.00","93.60","982.92K","0.74%"
"01/19/2022","94.30","95.00","95.10","93.60","818.95K","-0.74%"
"01/18/2022","95.00","94.90","95.20","94.10","1.09M","0.32%"
"01/17/2022","94.70","94.90","95.45","94.05","1.44M","-0.21%"
"01/14/2022","94.90","96.00","96.00","94.70","1.24M","-1.35%"
"01/13/2022","96.20","95.00","96.50","94.90","3.73M","1.32%"
